#,Set,Set,Name,Team,Pts,Year,OB/C,Sp/IP,Pos,Pos1,Pos2,Arm,Icon,PU,SO,GB,FB,BB,1B,1B+,2B,3B,HR
10,ASG,ASG,Shea Hillenbrand,Red Sox,270,'02,10,14,3B+1,3B+1,,R,,,1-3,4-5,6-,7-,8-16,-,17-19,-,20+
13,ASG,ASG,Derek Jeter,Yankees,380,'02,12,19,SS+0,SS+0,,R,,,1-2,3-5,6-7,8-12,13-16,17-,18-19,-,20+
16,ASG,ASG,Jorge Posada,Yankees,400,'02,12,12,C+6,C+6,,S,,,1-3,4-,5-7,8-11,12-15,-,16-18,-,19+
21,ASG,ASG,Alfonso Soriano,Yankees,400,'02,10,18,2B+1,2B+1,,R,,,1-4,5-,6-,7-,8-13,14-16,17-,18-,19+
23,ASG,ASG,Robin Ventura,Yankees,270,'02,10,11,3B+3,3B+3,,L,,,1-3,4-5,6-7,8-12,13-17,-,18-,-,19+
24,ASG,ASG,Omar Vizquel,Indians,410,'02,12,19,SS+4 2B+1,SS+4 ,2B+1,S,,,1-,2-5,6-7,8-12,13-15,16-,17-,18-19,20+
28,ASG,ASG,Luis Castillo,Marlins,380,'02,11,21,2B+2,2B+2,,S,,,1-3,4-5,6-,7-10,11-16,17-19,-,20-24,25+,
31,ASG,ASG,Luis Gonzalez,Diamondbacks,630,'02,12,14,LF-RF+1,LF-RF+1,,L,,,1-,2-3,4-5,6-10,11-14,-,15-17,-,18+
35,ASG,ASG,Jose Hernandez,Brewers,320,'02,10,14,SS+2,SS+2,,R,,,1-6,-,-,7-9,10-15,-,16-17,-,18+
37,ASG,ASG,Mike Lowell,Marlins,290,'02,11,10,3B+2,3B+2,,R,,,1-,2-,3-6,7-9,10-15,-,16-19,-,20+
41,ASG,ASG,Mike Piazza,Mets,230,'02,10,9,C+2,C+2,,R,,,1-2,3-4,5-7,8-9,10-15,-,16-17,-,18+
48,ASG,ASG,Junior Spivey,Diamondbacks,330,'02,11,16,2B+0,2B+0,,R,,,1-3,4-5,6-,7-9,10-14,15-16,17-18,19-,20+
49,ASG,ASG,Jose Vidro,Expos,290,'02,10,14,2B+1,2B+1,,S,,,1-2,3-4,5-6,7-8,9-16,-,17-19,-,20+
5,PR,PR,Scott Rolen,Phillies,350,'02,11,15,3B+3,3B+3,,R,,,1-4,5-,6-7,8-12,13-15,16-,17-18,-,19+
9,PR,PR,Melvin Mora,Orioles,190,'02,10,14,LF-RF+1 SS+4,LF-RF+1 ,SS+4,R,,,1-3,-,4-7,8-12,13-17,18-,19-22,-,23+
13,PR,PR,Mike Sweeney,Royals,170,'02,9,14,1B+0,1B+0,,R,,,1-,2-3,4-6,7-9,10-15,-,16-19,-,20+
14,PR,PR,Jorge Posada,Yankees,350,'02,12,12,C+6,C+6,,S,,,1-3,4-,5-6,7-11,12-15,-,16-18,-,19+
24,PR,PR,Kenny Lofton,White Sox,340,'02,12,20,CF+1 LF-RF+0,CF+1 ,LF-RF+0,L,,,1-,2-3,4-7,8-11,12-16,17-,18-,19-,20+
27,PR,PR,Ruben Sierra,Mariners,310,'02,11,13,LF-RF+1,LF-RF+1,,S,,,1-2,3-4,5-7,8-,9-14,-,15-17,-,18+
