#,Set,Set,Name,Team,Pts,Year,OB/C,Sp/IP,Pos,Pos1,Pos2,Arm,Icon,PU,SO,GB,FB,BB,1B,1B+,2B,3B,HR
166,CC,CC,Hoyt Wilhelm,Orioles,340,2005,6,2,Reliever,Reliever,,R,RP,2-Jan,7-Mar,13-Aug,14-16,17-,18-20,-,21-27,-,28+
167,CC,CC,Pee Wee Reese,Yankees,460,2005,12,23,SS+4,SS+4,,R,SB S,-,1-,5-Feb,6-,12-Jul,13-17,18-,19-,20-,21+
168,CC,CC,Larry Doby,Indians,480,2005,12,13,LF-RF+1,LF-RF+1,,L,HR S,-,1-,4-Feb,6-May,9-Jul,15-Oct,-,16-18,-,19+
169,CC,CC,Yogi Berra,Yankees,490,2005,12,11,C+9,C+9,,L,S,-,-,2-Jan,6-Mar,8-Jul,16-Sep,-,17-18,-,19+
170,CC,CC,Robin Yount,Brewers,540,2005,12,19,SS+5,SS+5,,R,G S V,-,1-,4-Feb,5-,9-Jun,13-Oct,14-15,16-17,18-19,20+
171,CC,CC,Brooks Robinson,Orioles,590,2005,11,16,3B+5,3B+5,,R,G S V,-,1-,4-Feb,6-May,10-Jul,16-Nov,17-,18-,19-,20+
172,CC,CC,Reggie Jackson,Yankees,700,2005,13,13,DH,DH,,L,HR S,-,2-Jan,3-,6-Apr,10-Jul,14-Nov,15-,16-,-,17+
173,CC,CC,Rod Carew,Twins,720,2005,14,22,1B+1,1B+1,,L,V S,-,1-,4-Feb,5-,7-Jun,16-Aug,17-18,19-,20-26,27+
174,CC,CC,Harmon Killebrew,Twins,730,2005,13,12,3B+3,3B+3,,R,V HR S,-,2-Jan,3-,6-Apr,12-Jul,13-14,-,15-16,-,17+
175,CC,CC,Nolan Ryan,Angels,750,2005,5,8,Starter,Starter,,R,20 K,1-,10-Feb,12-Nov,13-17,18-20,21-,-,22-,-,23+
1,P,P,Scot Shields,Angels,240,2005,4,2,Reliever,Reliever,,R,,1-,6-Feb,13-Jul,14-16,17-,18-19,-,20-26,-,27+
2,P,P,Mark Derosa,Braves,10,2005,9,9,3B+0,3B+0,,R,,-,1-,4-Feb,6-May,9-Jul,17-Oct,-,18-20,-,21+
3,P,P,Larry Bigbie,Orioles,280,2005,10,12,LF-RF+1,LF-RF+1,,L,,-,2-Jan,5-Mar,6-,9-Jul,16-Oct,-,17-18,-,19+
4,P,P,Greg Maddux,Cubs,380,2005,4,6,Starter,Starter,,R,,2-Jan,6-Mar,14-Jul,15-17,18-,19-21,-,22-,-,23+
5,P,P,Aaron Rowand,White Sox,530,2005,11,16,CF+1,CF+1,,R,,-,1-,3-Feb,5-Apr,7-Jun,13-Aug,14-15,16-18,-,19+
